date,kcal,protein_g,carbs_g,fat_g,fiber_g,sugar_g
2024-01-17,763.52,52.79,9.4,55.06,2.93,5.04
2024-01-18,841.6,70.53,56.71,34.57,9.52,15.74
2024-01-19,1350.12,114.42,126.71,40.12,11.21,21.59
2024-01-20,637.45,56.42,54.2,19.85,8.74,14.39
2024-01-21,637.45,56.42,54.2,19.85,8.74,14.39
2024-02-04,939.67,74.99,70.08,34.01,4.5,9.91
2024-02-05,1799.36,153.29,157.43,55.83,16.63,31.52
2024-02-06,1350.12,114.42,126.71,40.12,11.21,21.59
2024-02-07,637.45,56.42,54.2,19.85,8.74,14.39
2024-02-08,637.45,56.42,54.2,19.85,8.74,14.39
2024-02-09,1577.12,131.41,124.28,53.86,13.24,24.3
2024-02-10,637.45,56.42,54.2,19.85,8.74,14.39
2024-02-13,554.54,10.85,46.19,35.43,0.17,7.16
2024-02-14,585.52,40.48,7.21,42.22,2.25,3.87
2024-02-16,993.79,85.42,90.46,29.99,9.98,17.99
2024-02-17,2024.74,165.2,210.23,55.47,9.98,21.52
2024-02-18,1260.52,111.54,111.3,37.24,16.64,21.33
2024-02-19,623.07,55.12,57.1,17.39,7.9,6.94
2024-02-23,637.45,56.42,54.2,19.85,8.74,14.39
2024-02-24,637.45,56.42,54.2,19.85,8.74,14.39
2024-02-25,839.75,56.27,82.48,29.14,9.81,16.86
2024-02-26,677.15,49.92,71.94,17.33,3.73,7.32
2024-02-29,1314.6,106.34,126.14,37.18,12.47,21.71
2024-03-01,637.45,56.42,54.2,19.85,8.74,14.39
2024-03-02,637.45,56.42,54.2,19.85,8.74,14.39
2024-03-03,637.45,56.42,54.2,19.85,8.74,14.39
2024-03-04,1523.3,115.88,60.18,88.71,10.68,19.46
2024-03-05,1314.6,106.34,126.14,37.18,12.47,21.71
2024-03-06,1080.38,86.15,57.19,54.28,9.71,16.93
2024-03-07,1314.6,106.34,126.14,37.18,12.47,21.71
2024-03-08,637.45,56.42,54.2,19.85,8.74,14.39
2024-03-09,637.45,56.42,54.2,19.85,8.74,14.39
2024-03-10,1060.15,58.65,55.07,66.04,8.89,15.08
2024-03-11,637.45,56.42,54.2,19.85,8.74,14.39
2024-03-13,1314.6,106.34,126.14,37.18,12.47,21.71
2024-03-14,637.45,56.42,54.2,19.85,8.74,14.39
2024-03-15,2394.3,191.5,156.46,104.92,16.47,27.0
2024-03-16,637.45,56.42,54.2,19.85,8.74,14.39
2024-03-17,541.47,2.85,1.12,59.17,0.2,0.89
2024-03-18,1519.5,115.63,60.16,88.41,10.67,19.44
2024-03-19,637.45,56.42,54.2,19.85,8.74,14.39
2024-03-20,637.45,56.42,54.2,19.85,8.74,14.39
2024-03-21,637.45,56.42,54.2,19.85,8.74,14.39
2024-03-22,637.45,56.42,54.2,19.85,8.74,14.39
2024-03-23,1201.96,87.95,67.85,62.29,9.55,26.2
2024-03-24,1008.75,82.74,24.13,63.15,0.83,13.69
2024-03-25,623.07,55.12,57.1,17.39,7.9,6.94
2024-03-26,375.53,43.61,8.86,17.35,0.01,1.5
2024-03-27,1510.8,129.66,138.22,45.69,9.18,4.51
2024-03-28,1188.69,112.87,70.53,47.37,9.0,22.57
2024-03-29,862.12,72.84,63.76,32.85,9.06,22.94
2024-03-30,637.45,56.42,54.2,19.85,8.74,14.39
2024-03-31,637.45,56.42,54.2,19.85,8.74,14.39
2024-04-01,688.3,62.72,58.62,20.87,8.92,18.37
2024-04-02,2128.09,199.53,195.18,58.76,15.08,34.04
2024-04-05,1012.98,100.03,63.06,37.2,8.75,15.89
2024-04-08,877.08,58.87,5.92,68.17,1.92,5.02
2024-04-09,2724.9,329.92,73.14,116.11,0.06,21.77
2024-04-10,1417.15,97.57,106.22,63.44,16.16,21.28
2024-04-11,637.45,56.42,54.2,19.85,8.74,14.39
2024-04-12,637.45,56.42,54.2,19.85,8.74,14.39
2024-04-15,3060.25,337.78,111.35,131.81,8.8,24.09
2024-04-17,877.08,58.87,5.92,68.17,1.92,5.02
2024-04-18,1504.96,73.49,130.8,73.78,4.31,12.84
2024-04-19,1621.35,155.64,156.81,37.79,12.75,61.93
2024-04-20,775.3,83.03,79.4,12.2,7.61,59.4
2024-04-21,665.12,59.04,71.76,13.1,11.53,20.01
2024-04-22,893.8,79.23,93.96,22.58,4.97,9.61
2024-04-24,583.57,40.35,7.18,42.08,2.24,3.85
2024-04-26,637.45,56.42,54.2,19.85,8.74,14.39
2024-04-27,1312.95,102.39,99.4,55.26,11.54,15.99
2024-04-29,1312.95,102.39,99.4,55.26,11.54,15.99
2024-04-30,1222.97,96.9,61.41,62.07,10.99,18.26
2024-05-01,637.45,56.42,54.2,19.85,8.74,14.39
2024-05-02,775.3,83.03,79.4,12.2,7.61,59.4
2024-05-06,637.45,56.42,54.2,19.85,8.74,14.39
2024-05-07,1312.95,102.39,99.4,55.26,11.54,15.99
2024-05-08,637.45,56.42,54.2,19.85,8.74,14.39
2024-05-09,637.45,56.42,54.2,19.85,8.74,14.39
2024-05-11,617.29,69.87,56.96,13.07,5.9,29.53
2024-05-13,1349.86,119.55,128.59,38.86,10.57,18.54
