date,meal,type,name,brand,amount_g,kcal,protein_g,carbs_g,fat_g,fiber_g,sugar_g,kcal_per_g,protein_per_g,carbs_per_g,fat_per_g,fiber_per_g
2024-03-06,Mittagessen,recipe,Ghackets mit Härdöpfelstock,,0.0,442.93,29.73,2.99,34.43,0.97,2.54,0,0,0,0,0
2024-03-06,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-03-07,Mittagessen,recipe,Poulet nudeln,,0.0,677.15,49.92,71.94,17.33,3.73,7.32,0,0,0,0,0
2024-03-07,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-03-08,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-03-09,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-03-10,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-03-10,Snack,recipe,Salatdressing,,0.0,422.7,2.23,0.87,46.19,0.15,0.69,0,0,0,0,0
2024-03-11,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-03-13,Mittagessen,recipe,Poulet nudeln,,0.0,677.15,49.92,71.94,17.33,3.73,7.32,0,0,0,0,0
2024-03-13,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-03-14,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-03-15,Mittagessen,recipe,Poulet nudeln,,0.0,677.15,49.92,71.94,17.33,3.73,7.32,0,0,0,0,0
2024-03-15,Abendessen,recipe,Kartoffeltaler,,0.0,1079.7,85.16,30.32,67.74,4.0,5.29,0,0,0,0,0
2024-03-15,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-03-16,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-03-17,Mittagessen,recipe,Salatdressing,,0.0,372.2,1.96,0.77,40.67,0.14,0.61,0,0,0,0,0
2024-03-17,Abendessen,recipe,Salatdressing,,0.0,169.27,0.89,0.35,18.5,0.06,0.28,0,0,0,0,0
