date,kcal,protein_g,carbs_g,fat_g,fiber_g,sugar_g
2024-07-17,3135.45,172.11,233.93,160.04,39.81,77.64
2024-07-18,2920.0,215.35,195.1,130.27,46.58,24.95
2024-07-19,2756.78,219.91,312.42,54.23,44.88,96.08
2024-07-20,1199.6,173.15,50.13,27.73,5.94,3.59
2024-07-21,1558.75,163.75,57.4,69.6,24.5,12.85
2024-07-22,1144.0,153.1,48.2,32.0,24.5,32.0
2024-07-23,474.0,50.25,50.25,6.9,4.65,33.75
2024-07-24,3043.96,158.05,181.38,172.05,7.03,57.22
2024-07-25,2196.6,175.65,173.99,78.59,26.27,60.69
2024-07-26,2149.88,157.46,185.4,79.12,17.87,29.24
2024-07-27,1309.83,119.94,78.6,60.67,2.95,20.97
2024-07-28,265.0,43.0,22.5,2.5,0.0,18.5
2024-07-29,2407.56,157.95,223.17,92.79,5.81,93.37
2024-07-30,2096.01,177.75,151.94,77.3,20.83,63.35
2024-07-31,3386.32,186.26,320.74,138.39,61.18,68.32
2024-08-01,3671.87,268.33,264.82,165.45,48.91,118.18
2024-08-02,2385.25,178.07,218.4,84.45,13.74,59.84
2024-08-03,3201.7,170.21,404.82,89.86,34.14,90.16
2024-08-04,3820.26,195.64,281.4,187.55,48.96,54.01
2024-08-05,3332.66,201.52,382.61,137.97,11.79,77.03
2024-08-06,2052.35,91.16,285.55,52.47,36.12,41.41
2024-08-07,2691.77,155.69,305.22,88.63,23.88,82.82
2024-08-08,2949.28,169.81,306.47,96.0,23.22,110.59
2024-08-09,3232.03,160.37,361.35,119.17,27.33,76.16
2024-08-10,2375.3,116.4,184.69,121.42,28.01,36.58
2024-08-11,3259.06,160.5,367.84,116.11,33.32,44.61
2024-08-12,3323.66,218.95,313.09,127.35,13.93,51.53
2024-08-13,2824.49,185.77,322.44,80.38,11.99,74.79
2024-08-14,2648.48,150.31,354.33,63.5,33.33,37.48
2024-08-15,2612.41,154.08,241.23,111.64,12.4,62.86
2024-08-16,2689.39,213.35,237.33,90.46,16.37,21.48
2024-08-17,2429.58,155.92,218.5,90.77,25.85,53.78
2024-08-18,2644.03,174.43,230.11,107.39,21.3,51.83
2024-08-19,2811.09,174.03,301.99,89.61,26.7,110.38
2024-08-20,2846.69,149.55,340.75,89.58,20.92,93.99
2024-08-21,2653.1,201.22,232.65,94.76,21.92,65.94
2024-08-22,2780.51,179.27,297.61,91.9,12.48,57.43
2024-08-23,2568.75,205.54,218.47,84.19,9.31,52.66
2024-08-24,3529.94,191.48,451.29,101.96,22.67,77.68
2024-08-25,2238.81,161.93,192.95,88.7,19.31,70.53
2024-08-26,2712.52,176.85,275.05,88.18,12.07,63.38
2024-08-27,3044.09,162.44,359.1,94.74,37.37,78.94
2024-08-28,2255.96,164.29,218.19,68.46,23.67,39.66
2024-08-29,2801.62,187.93,286.68,92.51,18.92,35.98
2024-08-30,2837.14,179.49,292.61,96.45,9.81,21.58
2024-08-31,2190.25,172.49,178.64,78.05,11.09,51.01
2024-09-01,2551.05,170.3,210.03,99.4,15.76,66.53
2024-09-02,2554.91,147.02,205.63,112.68,21.5,32.26
2024-09-03,2889.75,183.83,261.52,109.61,14.14,33.54
2024-09-04,2344.5,173.56,254.91,62.58,9.25,38.87
2024-09-05,1842.08,152.15,150.37,61.03,17.29,18.98
2024-09-06,2763.99,181.2,299.84,88.05,26.94,54.16
2024-09-07,2892.27,188.17,251.26,120.63,18.43,30.27
2024-09-08,2463.57,161.54,273.03,69.54,15.84,14.81
2024-09-09,2284.36,150.49,244.37,73.21,12.74,20.99
2024-09-10,2594.38,156.29,323.64,65.39,13.35,54.75
2024-09-11,2195.2,165.7,228.3,54.68,16.92,17.9
2024-09-12,1995.4,142.35,206.26,61.49,5.45,11.27
2024-09-13,1371.72,78.59,175.63,35.28,0.38,32.87
2024-09-14,932.1,34.56,121.03,30.06,17.11,29.94
2024-09-15,2280.82,125.06,243.2,86.01,13.38,23.74
2024-09-16,2128.2,138.92,239.95,57.98,16.29,11.51
2024-09-17,2972.42,183.09,352.52,88.31,21.26,35.48
2024-09-18,2726.63,163.24,285.11,90.03,13.93,45.76
2024-09-19,2530.72,134.66,305.41,79.55,19.12,65.34
2024-09-20,4255.3,382.32,405.08,106.99,10.93,30.49
2024-09-21,1891.62,146.47,152.69,76.0,6.79,25.14
2024-09-22,3741.37,156.55,401.04,162.33,38.5,127.79
2024-09-23,2429.92,142.26,280.2,81.45,4.89,54.18
2024-09-24,2897.2,238.41,275.5,87.41,17.41,27.3
2024-09-25,2688.58,151.65,335.97,71.08,23.88,55.86
2024-09-26,1673.86,120.61,191.16,42.74,18.38,16.18
2024-09-27,2169.28,151.82,231.89,64.52,14.65,27.9
2024-09-28,2447.38,161.61,251.52,77.58,25.26,46.14
2024-09-29,3539.99,234.67,309.42,146.01,17.21,81.04
2024-09-30,2746.4,211.52,303.46,68.04,17.98,41.72
2024-10-01,2821.22,192.85,329.35,72.74,23.42,39.32
2024-10-02,3278.25,242.38,372.32,81.99,50.31,76.11
2024-10-03,1573.6,95.19,132.56,69.96,25.35,56.56
2024-10-04,1963.45,145.03,182.53,70.16,9.61,40.06
2024-10-05,3384.45,156.42,360.97,126.9,42.68,81.05
2024-10-06,999.8,73.3,106.5,27.6,9.75,45.4
2024-10-07,103.5,24.0,0.75,0.0,0.0,0.0
2024-10-09,103.5,24.0,0.75,0.0,0.0,0.0
2024-10-11,1283.5,60.72,145.85,46.68,3.6,5.62
2024-10-13,1005.0,33.39,104.79,50.19,7.26,2.28
2024-10-14,103.5,24.0,0.75,0.0,0.0,0.0
2024-10-15,1134.97,105.9,136.16,20.57,15.71,72.57
2024-10-16,1903.54,127.84,212.86,63.7,24.89,24.28
2024-10-17,2434.01,122.38,246.08,84.26,20.34,155.09
2024-10-18,582.5,69.75,0.0,25.0,0.0,0.0
2024-10-20,1538.3,152.2,156.58,33.25,8.64,33.91
2024-10-21,2733.85,160.12,299.16,97.48,24.92,25.99
2024-10-22,2435.74,145.09,266.14,82.38,23.87,29.2
2024-10-23,2058.7,121.1,235.22,68.19,10.75,29.69
2024-10-24,2059.04,137.61,182.14,82.84,14.36,15.6
2024-10-25,1135.5,36.3,156.5,36.1,2.0,9.35
2024-10-26,2142.15,155.16,232.32,61.12,24.55,38.19
2024-10-27,2505.37,180.78,248.65,84.24,17.64,23.52
2024-10-28,2600.65,196.95,216.68,101.46,13.79,21.89
2024-10-29,2742.74,162.59,328.01,89.58,9.28,32.77
2024-10-30,2148.33,145.08,198.57,85.09,12.86,31.29
2024-10-31,2339.0,174.15,203.21,86.52,13.82,51.99
2024-11-01,3108.21,217.63,294.4,119.13,37.15,84.47
2024-11-02,1810.69,104.09,154.12,87.91,13.13,37.89
2024-11-03,1853.74,120.38,188.53,67.26,10.57,53.92
2024-11-04,2411.69,160.13,249.02,81.62,12.97,44.78
2024-11-05,1901.72,136.04,190.15,60.98,10.54,10.52
2024-11-06,1762.98,170.56,170.75,46.05,9.7,108.64
2024-11-07,2430.35,162.78,255.21,73.96,13.33,13.31
2024-11-08,1808.62,129.0,216.53,46.49,14.08,14.95
2024-11-09,2428.5,136.23,277.86,83.96,16.43,71.43
2024-11-10,2110.88,131.22,242.27,62.56,26.16,126.87
2024-11-11,3119.64,206.29,269.91,123.49,17.16,61.12
2024-11-12,2243.04,165.15,224.56,72.59,20.14,28.86
2024-11-13,2617.29,165.37,254.16,101.71,19.84,49.25
2024-11-14,1849.95,158.09,179.82,53.94,18.27,27.89
2024-11-15,2041.52,175.81,190.05,64.26,22.4,28.9
2024-11-16,1612.25,141.13,166.24,42.87,9.34,42.18
2024-11-17,2453.65,154.04,200.72,111.85,12.4,44.32
2024-11-18,2908.85,160.97,259.21,135.33,7.7,25.24
2024-11-19,2077.21,134.18,115.84,105.36,22.85,14.73
2024-11-20,2260.72,135.25,135.48,124.92,24.13,42.04
2024-11-21,2440.84,156.49,248.46,89.0,17.85,51.37
2024-11-22,1956.8,162.36,109.98,88.68,0.0,35.42
2024-11-23,1552.2,74.07,156.53,66.55,11.33,18.46
2024-11-24,2257.22,126.45,213.32,95.4,4.99,8.63
2024-11-25,2833.25,171.89,294.81,102.56,10.94,17.62
2024-11-26,1884.92,93.09,225.19,64.79,3.39,7.34
2024-11-27,2240.58,154.15,233.52,71.17,15.58,13.85
2024-11-28,1833.97,124.07,209.77,54.78,8.84,37.36
2024-11-29,2203.66,149.95,259.03,69.89,17.4,38.34
2024-11-30,3089.53,150.47,251.69,158.69,17.51,15.96
2024-12-01,2630.19,157.5,320.56,75.7,23.47,101.73
2024-12-02,2567.13,172.77,190.37,121.69,15.14,30.46
2024-12-03,2419.99,163.14,212.7,97.74,8.74,48.94
2024-12-04,1769.15,119.48,187.8,56.25,16.0,20.22
2024-12-06,2258.63,160.73,246.09,67.95,17.52,30.05
2024-12-07,1971.32,67.12,231.49,75.1,16.26,19.8
2024-12-08,2252.9,142.99,246.03,70.81,15.51,43.97
2024-12-09,2241.95,132.87,216.54,90.5,7.07,44.29
2024-12-10,1232.82,76.71,161.64,29.04,9.29,19.86
2024-12-11,2196.45,154.7,268.96,55.34,10.69,47.51
2024-12-12,2720.85,135.24,249.88,118.03,22.81,76.38
2024-12-13,1976.3,69.41,232.45,79.26,12.0,31.25
2024-12-14,2212.78,135.04,225.0,80.76,9.99,32.02
2024-12-15,2160.1,133.5,201.7,87.65,10.1,66.7
2024-12-16,1795.28,141.11,191.84,49.05,10.4,32.95
2024-12-17,1735.68,98.68,243.77,38.58,8.4,14.32
2024-12-18,1804.7,86.84,214.66,61.08,19.25,48.12
2024-12-19,2791.77,148.15,277.92,107.95,8.52,54.77
2024-12-20,2354.8,136.24,266.53,80.09,9.04,18.32
2024-12-21,1632.6,108.07,160.95,51.86,7.75,58.64
2024-12-23,2166.58,187.79,118.73,100.74,10.91,59.62
2024-12-24,2410.6,90.6,268.9,90.05,11.48,74.75
2024-12-25,2885.2,163.85,251.25,119.42,29.38,58.64
2024-12-26,1763.0,134.4,100.88,83.4,7.28,29.73
2024-12-27,2282.49,173.79,212.73,68.49,17.16,71.18
2024-12-28,2432.9,111.92,264.75,99.38,3.0,38.56
2024-12-29,2491.96,146.85,237.77,96.3,13.92,71.95
2024-12-30,3262.87,188.18,319.77,126.4,23.58,106.01
2024-12-31,1856.02,168.99,123.26,74.3,5.66,17.99
2025-01-01,1810.8,126.0,131.5,83.45,0.0,29.95
2025-01-02,1123.0,74.02,124.5,32.04,27.6,42.64
2025-01-03,2903.18,162.56,321.75,102.56,14.2,116.4
2025-01-04,2152.4,132.58,192.92,91.05,12.39,74.9
2025-01-05,2673.94,155.29,178.78,132.64,9.19,81.36
2025-01-06,1859.73,142.67,211.29,44.03,15.54,63.67
2025-01-07,1982.49,119.13,246.49,63.18,0.43,8.71
2025-01-08,2974.91,169.39,293.96,122.57,16.78,68.49
2025-01-09,1801.2,132.1,200.72,47.53,4.8,53.13
2025-01-10,2552.42,159.87,207.1,103.37,56.08,38.79
2025-01-11,2503.01,127.9,313.97,78.09,26.42,52.05
2025-01-12,2455.08,148.67,249.4,94.17,4.44,62.7
