yazio_id,name,brand,category,barcode_off,off_name_match,has_ean_yazio,kcal_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g,fiber_per_100g,sugar_per_100g
71adfe51-b4fe-4afb-b0dc-ecf8ecb1b78a,Farmer,Farmer,miscellaneous,3168930168195,Chips paysanne nature,True,435.0,10.0,60.0,17.0,4.3,31.0
71ddcf26-bd51-4550-82ce-adfa657a570c,Mozzarella Pizza ,Cucina (Aldi),cheese,,,True,251.0,19.0,1.0,19.0,0.0,1.0
71e7d42c-fc8f-4873-bba2-f0aa3bc1cd79,Mandelkerne in Öl geröstet,Beste Wahl (Rewe),seeds,,,True,620.0,19.0,6.6,55.0,13.0,6.6
72921ae9-7a87-42d5-9233-92276f7c6a36,Joghurt Himbeer-Vanille,Migros Aus der Region,milk,,,True,83.0,3.1,11.0,3.0,0.5,11.0
72b78830-cecf-4818-b7a2-1312a5674c02,Mini Poulet Cordon Bleu 2 ST,Coop,meat,,,True,186.0,17.0,8.9,9.0,0.0,1.0
72e5e4c9-53d3-4e4d-8d3c-56dc41e97cfd,Le Maxi Sandwich: Poulet Schnitzel,Felfel,dishes,,,False,248.0,7.3,23.0,10.0,0.0,1.8
731eae31-e08b-44f9-8df8-55d96cb480f3,Chicken Cesar Wrap,Felfel,dishes,,,False,240.0,12.0,11.0,16.0,0.0,0.7
7324f87d-8f53-474e-9283-a09c4df86d6c,hähnchen,Food Fox GmbH,meat,,,True,156.0,20.0,0.7,8.0,0.0,0.5
73334cd3-fe28-4139-b122-ee552320ad44,Nudeleintopf mit Hackbällchen,Die wölkchenbäckerei,noodles,,,False,236.0,24.0,26.0,4.0,3.0,0.0
733b91ef-8a6c-4012-977d-3b150e29f3f6,Ciabatta Poulet döner,Aldi,dishes,,,True,214.0,9.1,30.0,5.9,1.0,2.2
736e77a3-92e1-4953-bdd9-954f704b800e,Tortillas,M-Budget,bread,,,True,311.0,7.4,55.0,6.3,2.4,5.1
73cdeb36-7015-44a8-a690-475d913ee666,Cotto geschnitten,Aldi,pork,,,True,104.0,14.0,0.5,5.0,0.0,0.5
73ef0c50-11a5-4caf-b252-b54ff300f0e1,Hackbällchen,Selbstgemacht,dishes,,,False,274.0,21.05,0.0,15.0,0.0,1.0
742b2071-e484-4abe-9025-eb41b7e0883b,Butter Chicken Delhi Style,Felfel,dishes,0238129000767,Butter chicken delhi style,False,135.0,6.8,13.0,5.9,0.0,2.1
744308c0-6cec-4df0-8109-abfdd583e6f7,Knuspermüsli,Gut & Günstig (Edeka),cornflakes,,,True,419.0,10.7,56.6,13.9,0.0,0.0
74f1cc7b-2413-4cbf-9b79-3f9e60f695f1,Chicken Nuggets 4 stk,Mc Donalds,fastfood,,,False,241.0,15.0,19.0,11.0,0.0,0.7
75410531-eae2-4e74-bc31-ac82374ce6c4,Dunkle Bratensauce ,Selbstgemacht,sauces,,,False,100.0,3.5,5.2,5.0,0.0,5.0
757a78da-a3f4-408f-bc26-0466cc98332e,Dürüm Weizenfladen,dürüm company,bread,,,True,298.0,7.6,50.0,7.6,0.0,2.1
7592bbbd-04dd-486a-899b-891c26e5024d,Yogourt & Quark/Séré  Nature,MClassic,yogurt,,,True,57.0,8.5,4.5,0.5,0.7,3.7
75a610df-e93a-4aa7-bd6c-3c85aa8e09a5,Frischkäse-Fass,Milfina (Aldi),creamcheese,,,True,257.0,5.5,4.6,24.0,0.0,3.2
76992262-8a15-48d4-9def-fee9c3afcb79,Vanille Jogurt ,Appenzeller Jogurt,milk,,,True,78.0,3.5,8.8,3.2,0.0,8.5
770a2c32-3d71-41ce-bc4f-a478bc427ee0,Chicken Couscous Bowl,Felfel,dishes,,,True,177.0,8.8,14.0,9.2,0.0,3.2
7748afbf-2721-46a0-9a5c-0a410a1f9055,Riebel,Selbstgemacht,veganism,,,False,120.0,4.0,14.0,3.0,0.0,0.0
774fa00f-a4d7-4d81-9bf4-1a155597aa63,Lasagne alla bolognese,Felfel,pasta,,,False,150.0,5.6,16.0,6.9,0.0,3.5
775f4f67-1a0a-46d7-91fc-43a2b78c402d,Schokokuchen ,Eigene Herstellung,pies,,,True,375.0,6.0,51.0,16.0,3.6,32.0
77be5de4-bc1b-420d-9b72-e509c7ffe0d1,Pain paillasse,la campagniere,bread,,,True,243.0,7.9,50.1,0.9,3.2,2.4
78327724-6d96-408a-aa2b-5cf9b405f5b7,Birchermüesli - Baies (dairy free),Felfel,cerealproducts,,,False,154.0,2.8,22.0,5.7,2.4,12.0
78407fcc-8f55-414d-a820-a38ada7b9e56,Supreme Snack Mandeln geröstet BBQ-Geschmack Snackfun,Aldi/Snackfun,seeds,,,True,627.0,24.0,7.3,54.0,0.0,4.6
785fb992-23af-44dc-bd89-6eb864fbc2a2,Chips Paprika,Snack Fun,miscellaneous,4099200409306,Easy chips paprika,True,510.0,5.9,51.0,31.0,0.0,5.6
7894d936-ad7e-489a-b9ed-b7aadeb75813,Lowcarp Magerquark Pizza,Selbstgemacht,miscellaneous,,,False,143.67,15.0,4.67,6.67,0.0,0.0
78991137-6dc3-4a08-b98a-7f387360893b,Spaghetti Cinque Pi,Coop,noodles,,,True,196.0,6.0,18.0,11.0,1.0,2.0
78c181ed-362b-4c0c-97a6-ae7dc8a0c021,Giovanni's tosato gnocchi,Felfel,noodles,,,False,129.0,3.7,24.0,1.5,0.0,2.7
78dfcda4-c3ba-42c0-b54b-63d3a7e9afcc,Proteinbrot YOU,Migros,bread,,,True,200.0,17.0,23.0,2.8,7.5,0.5
79475a77-464f-4fe8-ad72-7661c944893c,Müsli Riegel Schoko,Happy Harvest,chocolatebars,,,True,438.0,8.7,60.0,17.0,5.5,25.0
7983d44f-c2d3-40b7-a092-c55ff566a6e5,Bio Dinkel-Vollkornteigwaren,Nature Active Bio,noodles,,,True,348.0,13.0,64.0,2.6,6.8,1.0
79b8aaf8-8752-412e-b10b-91820bfbc441,poulet cocktail,Betty Bossi,dishes,7627534497637,Sandwich poulet cocktail,True,259.0,8.5,27.0,12.0,0.0,10.0
79d44bb0-c568-4704-a096-ebb989921f2f,Burrito Spicy Tiger,Good Choice Hofer,miscellaneous,,,True,218.0,9.4,28.0,7.4,0.0,3.6
79fc95c0-e7ce-4155-a469-22715e66b3c3,"Shrimp (raw, shell on, easy peel",Deluxe (Lidl),seafood,,,True,66.0,15.0,0.0,0.7,0.0,0.0
7a462eec-38f1-4382-a37f-8da14d83f18b,Kartoffeln roh,,vegetables,8691440200109,Bulgur Köftelik Roh,False,77.0,2.0,16.0,0.1,2.0,1.0
7a4da7b5-754a-4d93-a5e8-0ee0e813feef,"Activ Müsli Knusper, Kokosnuss",Aldi,cornflakes,,,True,445.0,8.5,63.0,16.0,7.5,21.0
